"gaid","country","level_cnt","ads_cnt","pvp_cnt","pvp_won_cnt","gem_spend","coin_spend","gem_earn","ads_reward_cnt","org_hero_cnt","level_e_try_cnt","level_e_cnt","idle_cnt","purchase_times","login_cnt","level_h_cnt","log_num","d1_duration","d2_duration","d3_duration"
"d5fc485e-610f-46be-80c9-8f78f4e312b0","US","120","77","1","1","1620","1522900","2122","8",,"3","2","26",,"7","160","2514","6268686","9141790","14621021"
"95e687a7-6068-4495-97e1-8ecea051c446","US","71","35","20","20","650","248520","523","14",,"7","6",,,"5",,"863","274011","10076219","1352017"
"115c775f-3244-4f8f-a0e6-ebd176894b6e","US","88","1","2","2","738","136320","375",,,"14","9","9",,"12","6","679","437255","2580362","7741203"
"b4b7165d-ff72-4bcf-90b1-46f35ab84b2f","US","790","465","62","62","7978","6470700","8022","164","1","14","10","45",,"14","165","9567","22292394","6536922","23429384"
"5c191fdf-034e-4692-85e2-83c938779df0","US","253","53","60","60","4985","2120320","5462",,"4","11","5","18","7","7","200","4066","6217514","8000328","15465864"
"1b1da3bb-baac-46fe-9998-24371cf01aea","US","96","11",,,"1064","207600","801","11",,"11","7","5",,"4","40","1006","348066","7584989",
"ab1193b0-ecf7-4e05-90ca-c1ca999c27a7","US","37","2",,,"250","38660","155",,,,,"2",,"6",,"343","2278865","1741069",
"3299982f-cb70-4a39-b541-fa002ed5c036","US","72","69","5","5","250","145220","498","50",,"22","22","19",,"9","26","1203","8503226","9353612","4818379"
"6c2a2969-2343-4475-a894-67e0a552d253","US","84","26","4","4","750","262400","528","12","1","35","15","1",,"4","45","1115","1628089","9620801","5424683"
"49558ee9-5327-40e2-af13-b1302280f60c","US","74","12",,,"1680","312200","1891","7","2","13","11","28","4","4","10","819","1300878","8195869","505978"
"19f3b300-5288-4b13-b2e6-dfe6141c2294","US","222","103","1","1","5472","770000","6952","70","1","1","1","93","2","8","14","2648","3768776","22899908","16582812"
"e4ef6c8c-663a-457e-89d4-ce403f20c13b","US","118","368","45","45","600","2275400","3128","168",,"3","3","24",,"6","232","4954","10596031","12001352","6314856"
"b68cede1-507d-4487-ace8-b3d8a6f2969c","US","34",,,,"450","44620","154",,,,,,,"1","15","365","1715557",,
"7ce26e56-04b8-444c-8b62-9c5a912dd648","US","199","74",,,"2710","1267160","2594","4",,"6","6","19",,"21","98","2540","1723123","6023823","5369546"
"1b8abebd-5fac-46ee-a9d5-3ce43c53a8f6","US","251","140","22","22","3230","1914600","2863","79","1","7","6","9",,"9","70","3487","8117076","6108988","6607716"
"a37944ea-e6b4-4e2c-8298-30c410e50e47","US","144","2","2","2","540","427400","1262",,"1","9","3","3",,"14","70","1502","4860981","5069674","2485582"
"b076711b-c784-433c-be6b-fb97c6e87f77","US","92","23",,,"400","248520","560","6",,"21","13","1",,"2","40","1014","12483965",,
"55f685d5-6616-48e2-89db-36cc1c390aa6","US","104","3","16","16","1740","321200","1656",,"1","14","6","3","3","3","5","936","2141661","2919157","1071665"
"62db5b99-932c-4339-be56-9b0fd56086e5","US","86","3",,,"650","233660","760",,,"30","22","7",,"5","18","777","1035782","8556041",
"38ffcab6-490b-4fd7-93ad-2a08a5021931","US","78","27",,,"630","233660","360","8",,"16","8","10",,"4","3","744","3241963",,"2915664"
"412818fe-bb61-4e9d-9f7f-2fd117845e3b","US","194","164","20","20","60","1087400","1780","8",,"6","2","46",,"2","39","2618","2276052","11448419","8594774"
"23796202-ac9e-4bb4-8c39-9e3c8672aa81","US","200","109","25","25","1210","697400","2041","14",,,,"3",,"22","80","2874","9332259","10419519","14550811"
"e2eb5f9e-eca6-492b-8219-d18fd090d647","US","310","3","61","61","1356","1362800","4252","2",,"10","6","14",,"6","90","3061","7403136","8339682","3703007"
"2faf43ec-eb3b-4b57-bef2-b60bcb89eb8b","US","81","8","14","14","447","144700","505","7",,"2","2","29",,"14","9","779","2703092","2138007","1593319"
"5edcd40a-8610-4254-8ecb-6084474df710","US","696","11","25","25","3659","3009000","6027",,"1","50","29","6",,"5","150","5344","10588347","32721339","13341440"
"e5a3ce7b-c89d-4823-a092-80be086b76e3","US","938","21","27","27","9493","4810900","9159","21","3","26","20","117",,"12","200","7503","2237268","30273926","7386134"
"5f11d35c-d1db-45d8-84b9-37cc3239eff4","US","251","11","39","39","4380","1497000","4076",,"1","8","7","17",,"15","189","3329","5566845","6671213","5159685"
"0e16ad98-9ca5-4c40-878b-1055fb9d9864","US","119","120","18","18","1000","588600","767","1",,"3","3",,,"8","34","1902","8333172","740622","6265719"
"cc83de08-c27f-4cdc-a18e-df08a05d116b","US","428","152","78","78","6243","3718700","6023","107","1","198","96","34","1","18","124","5888","30733370","36899835","15458545"
"9a1189e4-2949-45f2-8a67-98bc7064577f","US","141","10","4","4","2033","424500","1642","3",,"8","5","24",,"16","25","1453","8705785","2012325","275369"
"81762ed4-8392-4cec-b140-c4edfa5c19fa","US","105",,,,"1300","389300","1256",,,"5","5","10",,"10","108","1331","2203018","3545333","1255797"
"e47532f9-e695-448f-9d50-5a28778b56b7","US","138","44","26","26","820","742400","1384","29",,"102","50","8",,"3","71","2007","2680977","23079414","6357470"
"111bf0eb-80c3-4708-bef6-1e3935f246ec","US","69","1","1","1","500","89600","424",,,,,"4",,"6","18","662","645803","2109094","1034316"
"09ee0d79-e057-4323-899e-c1741feaeaa2","US","100","9",,,"600","171160","1053","5",,"15","11","14",,"5","88","1306","4496486","4437670","1554642"
