,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
0,239,21,16,16,2160,1086700,2306,4,0,5,6,14,0,5,72,2196,14486393,6765489,0,0,12,62,40,3,3,1440,960000,984,0,1,0,0,5,0,4,48,978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,75,4,0,0,120,97000,153,2,0,1,0,13,0,5,4,643,6854196,0,6319633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,4,4,660,235900,733,4,0,8,4,20,0,4,2,674,5,1,1,1,1
2,70,97,6,6,510,412400,763,97,0,1,1,7,0,6,27,1378,11065569,10525601,351842,0,12,85,97,25,25,1374,992000,1800,95,1,14,7,11,0,9,24,1545,9,5,0,0,0,0,30000,9,1,0,1,0,1,0,1,0,40,0,1,1,1,1
3,80,0,0,0,0,87800,383,0,0,0,0,1,0,2,40,728,4724052,1858341,0,0,6,47,0,0,0,0,118800,444,0,0,0,0,1,0,1,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4,106,8,9,9,1264,377700,881,1,0,17,8,12,0,8,31,1119,11712457,494498,0,0,8,1,0,0,0,300,27000,311,0,0,0,0,1,0,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5,100,0,16,16,700,307500,531,0,0,35,15,0,0,2,28,979,9030984,4380070,7111496,0,6,44,3,2,2,550,207000,410,0,0,11,5,0,0,3,0,365,4,57,1,16,16,1420,462000,1385,0,1,3,2,0,0,4,53,896,7,1,1,1,1
6,118,3,2,2,1000,277400,735,3,0,9,8,6,0,8,40,1070,7609857,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7,320,5,71,71,4590,2109400,4273,0,2,99,56,13,2,11,136,3578,24773484,17542206,13055190,9,14,279,7,16,16,458,1464000,3423,6,0,46,30,14,0,9,19,2019,7,123,87,62,62,323,1695000,2420,27,2,4,2,12,2,10,61,2131,3,1,1,1,1
8,126,11,0,0,720,247820,796,0,0,16,6,6,0,3,40,1101,10006078,724588,76017,0,0,18,0,0,0,60,44580,161,0,0,0,0,2,0,2,0,122,0,1,0,0,0,60,0,240,0,0,0,0,1,0,1,0,20,0,1,1,1,1
9,66,0,0,0,0,78120,125,0,0,0,0,14,0,1,0,732,6245552,2634624,0,0,0,18,0,0,0,200,127080,267,0,0,1,1,7,0,1,34,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
10,184,53,24,24,2652,1248100,2278,21,1,19,15,14,0,5,95,2415,15778898,5258199,2580845,0,14,70,15,20,20,1380,647000,1429,13,1,4,1,6,0,6,11,831,6,2,2,20,20,554,94000,502,2,1,0,0,3,0,4,0,255,4,1,1,1,1
11,165,12,43,43,1270,533600,1767,10,0,18,10,1,0,4,40,1814,9798726,931484,1323222,0,12,25,1,0,0,0,75000,120,0,0,1,0,0,0,3,0,159,0,6,1,0,0,1080,225000,430,1,0,1,1,0,0,1,35,307,5,1,1,1,1
12,120,6,7,7,940,284200,810,1,0,2,2,13,0,8,16,984,5330701,1859390,0,0,12,22,0,2,2,240,90000,120,0,0,1,0,0,0,1,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
13,178,10,20,20,2240,807200,1916,1,0,16,10,9,0,8,120,2152,13083142,460180,4988582,0,12,3,0,0,0,400,120000,546,0,0,0,0,2,0,2,27,225,4,79,12,13,13,1680,705800,1471,1,1,3,1,2,0,1,53,1018,3,1,1,1,1
14,90,11,15,15,595,279900,754,10,0,14,11,11,0,6,20,954,8716755,1255319,1349901,0,14,5,0,0,0,60,45000,199,0,0,2,1,1,0,1,0,63,5,26,0,23,23,1770,227000,1125,0,1,3,0,4,0,2,0,387,4,1,1,1,1
15,35,2,0,0,0,50600,146,2,0,0,0,0,0,1,21,372,3850586,1667728,1152161,0,3,30,0,0,0,293,56420,235,0,0,0,0,2,0,1,3,224,4,5,0,0,0,0,9540,20,0,0,6,5,0,0,1,0,81,0,1,1,1,1
16,172,26,5,5,1091,592100,1111,2,0,24,17,10,0,3,0,1436,17112281,9093364,0,0,6,88,21,0,0,860,855000,1210,1,0,6,0,3,0,3,80,1280,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
17,129,6,6,6,876,247820,1053,0,0,26,15,28,0,6,40,1348,17182198,3574797,3854628,0,5,7,0,0,0,600,42480,590,0,0,8,3,11,0,4,0,146,3,14,3,3,3,500,165000,490,0,0,11,2,9,0,1,22,370,4,1,1,1,1
18,153,4,20,20,450,652500,1337,0,0,26,23,1,0,4,86,1729,20831005,6279338,93800,2,12,32,8,20,20,1080,555000,1803,0,2,7,6,4,0,5,80,903,6,2,0,0,0,0,0,144,0,0,0,0,1,0,2,0,20,0,1,1,1,1
19,136,176,17,17,1200,802400,1304,151,2,13,10,11,2,6,40,2620,23590007,9289539,132971,3,7,6,97,14,14,1520,1200000,1467,88,0,1,0,4,1,4,91,1472,6,0,0,0,0,0,0,145,0,0,0,0,1,0,1,0,11,1,1,1,1,1
20,211,39,20,20,1900,798000,1721,10,1,5,4,2,0,3,40,2093,12809045,591297,140394,0,7,12,1,0,0,300,87000,110,0,0,0,0,0,0,2,0,118,2,5,0,0,0,0,60000,255,0,0,0,0,0,0,0,0,54,3,1,1,1,1
21,70,41,0,0,740,185520,390,6,1,4,3,3,0,4,40,1021,6179989,56230,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
22,115,0,13,13,1030,471100,1077,0,0,16,11,26,0,1,82,1509,10879774,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
23,110,7,0,0,400,292400,643,0,0,41,20,4,0,2,16,948,17519982,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
24,345,23,40,40,3820,2032400,4407,17,1,67,42,10,0,6,135,3627,29034584,18570417,3132816,0,14,61,1,19,19,1624,722000,955,1,1,77,48,5,0,5,0,807,2,19,11,11,11,0,391000,829,5,0,0,0,2,0,4,20,438,7,1,1,1,1
25,83,4,0,0,557,224320,686,0,0,7,5,5,0,6,65,989,5370941,10628932,5986716,0,12,48,1,2,2,540,174980,1079,0,1,37,9,3,0,10,10,475,5,36,1,0,0,1050,315000,606,0,0,19,5,3,0,5,10,356,2,1,1,1,1
26,154,0,8,8,1050,329400,811,0,0,6,3,6,0,2,28,1240,14526075,410060,5620087,0,1,2,0,0,0,0,27000,170,0,0,0,0,2,0,1,2,53,0,20,0,4,4,310,194000,621,0,0,5,3,2,0,0,5,307,4,1,1,1,1
27,82,8,6,6,620,181220,423,8,0,12,6,0,0,4,40,923,3852898,1104244,2376435,0,6,28,4,2,2,450,81180,315,4,0,1,0,0,0,1,0,215,3,30,2,5,5,310,150000,280,2,1,1,1,0,0,3,0,270,4,1,1,1,1
28,159,10,17,17,0,0,0,10,0,25,19,0,0,8,52,1863,17263851,4464164,614700,0,0,3,5,15,15,0,0,0,4,0,6,4,0,0,6,17,398,0,4,0,0,0,0,0,0,0,0,1,1,0,0,2,2,64,0,1,1,1,1
29,148,2,0,0,373,414100,790,0,1,32,12,1,0,8,22,1267,19237827,3693791,0,0,0,7,1,0,0,0,45000,120,0,0,13,7,1,0,4,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
30,35,0,0,0,0,33320,103,0,0,0,0,0,0,1,13,310,1606201,555089,1707192,0,3,14,0,0,0,0,30900,40,0,0,0,0,1,0,1,0,108,2,15,0,0,0,0,93300,292,0,0,0,0,0,0,3,31,315,5,1,1,0,1
31,113,0,1,1,375,367900,876,0,0,20,7,0,0,6,74,1283,11947055,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
32,123,0,2,2,580,219920,592,0,0,0,0,9,0,6,6,970,10807058,1039078,1889506,0,4,0,0,0,0,0,13740,0,0,0,0,0,0,0,2,0,24,0,7,0,0,0,0,28740,240,0,0,0,0,0,0,1,26,203,0,1,1,1,1
33,76,7,15,15,100,279000,518,0,0,53,31,5,0,3,40,990,18456235,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
34,93,176,20,20,0,652400,1279,176,0,22,10,7,0,11,114,2581,20811991,256458,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
35,51,0,0,0,100,64220,168,0,0,0,0,0,0,1,40,550,2863351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
36,141,2,0,0,607,306000,659,0,0,3,2,31,0,2,35,1196,8203986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
37,129,6,7,7,120,262400,936,5,0,3,2,3,0,2,50,1181,6827028,0,15433,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,1,1,1
38,49,1,0,0,0,34720,52,0,0,0,0,13,0,4,11,408,2367487,1115604,3711058,0,0,18,1,0,0,279,38340,257,0,0,0,0,3,0,3,5,174,0,4,1,0,0,0,7860,138,0,0,19,7,3,0,8,0,124,0,1,1,1,1
39,151,20,3,3,767,375300,845,2,0,0,0,3,0,4,13,1242,9005434,1043935,0,0,6,8,5,0,0,0,60000,0,0,0,0,0,0,0,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
40,30,43,6,6,500,132620,238,3,0,0,0,2,0,3,8,621,3717080,4428370,5076778,0,11,10,55,20,20,480,228780,358,20,0,0,0,2,0,2,40,803,7,16,58,20,20,430,195000,656,13,0,0,0,3,0,1,40,842,6,1,1,0,1
41,80,7,0,0,0,115160,367,0,0,1,1,10,0,5,0,585,4655569,0,1766834,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,91440,459,0,0,0,0,3,0,3,0,221,4,1,1,1,1
42,60,0,0,0,120,79520,275,0,0,0,0,10,0,6,13,520,3745550,2037966,584072,0,10,45,0,0,0,180,114180,568,0,0,2,2,2,0,3,1,300,4,9,0,0,0,0,26220,121,0,0,0,0,1,0,1,0,68,1,1,1,1,1
43,299,10,0,0,2432,1016700,2099,0,0,1,1,13,0,2,11,1968,15980730,543017,0,0,5,10,0,0,0,180,0,120,0,2,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
44,93,3,5,5,400,181220,474,0,0,15,10,1,0,3,2,714,11442352,571273,0,0,9,7,0,0,0,0,52440,80,0,0,1,0,0,0,2,11,127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
45,72,0,7,7,920,193700,538,0,0,4,3,10,0,2,38,789,6870487,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
46,157,11,0,0,691,355900,733,10,0,0,0,66,0,8,0,1257,12138045,982188,0,0,0,3,2,0,0,0,15000,122,2,0,0,0,7,0,1,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
47,103,0,14,14,907,260920,657,0,1,22,17,14,0,3,40,1061,9573262,5548234,0,0,6,67,0,16,16,430,500780,1344,0,0,4,2,5,0,2,80,1038,6,0,0,0,0,700,105000,625,0,0,0,0,3,0,0,0,0,4,1,1,1,1
48,15,0,0,0,0,5700,14,0,0,0,0,0,0,1,3,137,955375,9405767,120261,0,0,85,7,13,13,301,140800,319,1,0,13,3,0,0,3,6,800,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1,1,1,1
49,75,6,12,12,600,158020,420,0,0,4,3,4,0,4,15,753,3895013,4233306,0,0,13,66,2,20,20,1050,299880,915,0,0,4,3,0,0,3,20,753,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
50,52,0,2,2,0,50600,70,0,0,0,0,0,0,4,0,507,4575967,346705,2935998,0,4,9,0,0,0,60,6600,0,0,0,0,0,0,0,2,0,66,0,59,0,0,0,769,168920,449,0,0,2,1,1,0,2,0,392,3,1,1,1,1
51,101,5,20,20,0,157520,625,0,0,0,0,10,0,10,35,1081,9443475,6690281,0,0,6,58,0,20,20,250,323880,1225,0,0,7,3,0,0,4,21,692,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
52,156,12,1,1,1576,487500,1404,1,0,8,8,12,0,3,66,1554,8535245,530857,0,0,11,1,4,0,0,460,75000,300,0,0,0,0,1,0,1,10,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
53,66,0,1,1,550,219920,656,0,0,0,0,8,0,3,75,936,4432793,940276,0,0,10,14,0,0,0,120,42480,94,0,0,5,3,2,0,1,0,104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
54,227,60,8,8,1000,1252400,2030,9,0,88,45,17,0,5,20,2201,32519266,6072843,3308272,0,14,19,19,0,0,0,240000,329,5,0,25,13,3,0,2,0,293,0,43,43,4,4,0,450000,967,8,0,0,0,3,0,4,0,594,7,1,1,1,1
55,21,0,0,0,0,36660,142,0,0,0,0,5,0,1,10,219,696220,7062750,1903642,0,5,130,0,18,18,729,439340,1306,0,0,14,12,24,0,3,24,1095,10,32,0,0,0,0,135000,546,0,0,0,0,2,0,3,0,246,4,1,1,1,1
56,71,1,0,0,0,57200,180,0,0,8,5,1,0,4,13,589,5312217,912492,1554797,0,0,14,0,0,0,0,48420,120,0,0,0,0,0,0,1,0,112,0,30,0,0,0,200,63540,120,0,0,0,0,0,0,3,0,218,0,1,1,1,1
57,98,20,0,0,294,155520,304,12,0,0,0,0,0,2,12,804,4420243,7072978,137438,0,0,25,0,0,0,180,104880,175,0,0,20,7,0,0,2,0,236,1,2,1,0,0,0,15000,120,0,0,0,0,0,0,1,0,29,0,1,1,1,1
58,103,2,20,20,1227,415200,851,1,0,57,21,20,0,2,66,1393,21035367,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
59,104,2,0,0,700,307400,706,0,0,45,19,16,0,11,11,861,13029656,4722619,0,0,10,8,3,0,0,250,105000,533,0,0,27,11,2,0,2,20,265,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
60,95,0,21,21,310,234320,569,0,0,14,9,21,0,6,40,1103,10515176,4810130,10029994,0,7,60,1,20,20,1281,287480,1209,0,0,3,2,3,0,5,25,730,7,82,3,26,26,1169,608800,1409,0,0,13,5,14,0,7,80,1406,7,1,1,1,1
61,101,26,20,20,1160,427400,850,2,0,15,9,9,0,7,40,1346,12618504,2640047,0,0,11,64,2,2,2,840,270000,868,0,0,28,18,5,0,2,0,539,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
62,66,0,0,0,0,61500,168,0,0,0,0,0,0,4,11,513,3684464,4959563,327828,0,0,8,0,0,0,60,44300,35,0,0,19,10,0,0,5,1,139,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,0,1,1,1,1
63,71,0,0,0,460,186520,576,0,0,2,1,38,0,3,37,734,2160711,2983940,696525,0,10,4,0,0,0,120,48180,4,0,0,7,5,2,0,1,0,60,0,1,0,0,0,0,11220,122,0,0,1,0,5,0,2,0,28,2,1,1,1,1
64,56,2,12,12,720,150700,400,2,0,0,0,2,0,2,17,610,2493461,215706,5571209,0,12,6,0,0,0,60,11220,80,0,0,0,0,1,0,1,0,52,1,2,0,0,0,420,139880,388,0,0,24,16,3,0,1,0,145,4,1,1,0,1
65,91,32,4,4,0,277400,444,31,0,9,7,0,0,3,11,911,8948452,39401,3286091,0,6,0,0,0,0,0,0,16,0,0,0,0,1,0,1,0,3,0,46,20,1,1,310,147000,885,20,0,0,0,2,0,2,20,544,7,1,1,1,1
66,82,2,4,4,500,105620,242,0,0,0,0,0,0,2,5,589,4084449,1216642,0,0,6,20,1,6,6,0,100980,276,1,0,0,0,0,0,1,5,217,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
67,126,18,33,33,699,325800,748,2,0,17,10,0,0,2,12,1357,11831832,903727,2854187,0,11,4,5,17,17,0,0,300,1,1,0,0,0,0,1,0,149,0,25,10,20,20,760,201000,250,0,0,2,0,0,0,1,0,370,4,1,1,1,1
68,221,89,6,6,1182,1389800,1501,2,0,11,6,24,0,6,5,2277,16327178,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
69,54,3,0,0,450,75560,138,3,0,0,0,1,0,2,5,428,2252450,0,6056362,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,7,0,0,600,181160,557,7,0,14,8,1,0,7,20,535,6,1,1,1,1
70,146,14,0,0,1260,337400,1191,14,0,11,8,42,0,4,40,1377,9483470,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
71,100,16,0,0,316,184220,337,1,0,2,2,13,0,3,4,865,6479626,1098375,1615048,0,0,18,5,0,0,200,69100,217,4,0,0,0,2,0,2,0,151,0,18,0,0,0,430,87080,446,0,0,2,1,2,0,3,0,167,2,1,1,1,1
72,96,11,22,22,1870,582400,1571,0,0,30,22,1,0,7,60,1292,10346582,5389797,9396310,0,14,50,5,6,6,590,495000,680,0,1,8,3,0,0,6,68,862,0,59,7,38,38,1620,1022000,1690,0,0,15,6,0,0,9,132,1602,14,1,1,1,1
73,95,6,1,1,600,195600,476,6,0,27,16,0,0,5,32,879,8824629,5349463,0,0,7,15,5,6,6,335,98700,371,5,0,16,6,3,0,1,9,266,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
74,73,6,0,0,1095,221820,771,4,1,19,12,9,1,5,40,969,7076307,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
75,27,2,0,0,0,10100,4,0,0,0,0,9,0,1,2,214,1013131,2944833,2351528,0,0,55,7,1,1,243,86400,257,0,0,0,0,7,0,5,9,505,0,44,6,0,0,300,125920,541,0,0,2,1,6,0,3,2,359,0,1,1,1,1
76,382,10,20,20,1728,1494500,2636,10,0,10,8,16,0,4,65,3111,20308097,25190252,6960871,3,7,356,8,19,19,4264,2047000,4754,8,0,17,12,8,0,4,96,3094,7,62,7,20,20,3017,693000,2147,7,1,10,9,4,0,4,64,1053,9,1,1,1,1
77,81,6,5,5,200,135500,368,6,0,4,3,0,0,4,40,873,4540081,970330,34556,0,5,5,0,7,7,0,22020,200,0,0,3,3,0,0,2,0,109,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,1
78,112,0,0,0,800,262400,829,0,0,6,5,26,0,4,37,965,7445049,4158325,780580,0,6,47,0,0,0,1100,270000,805,0,0,7,4,13,0,2,27,545,6,9,0,0,0,200,47000,372,0,0,1,0,3,0,1,0,91,0,1,1,1,1
79,56,0,0,0,60,71660,169,0,0,0,0,5,0,6,29,570,3352396,2061318,0,0,0,13,0,0,0,540,63840,301,0,0,4,3,3,0,3,5,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
80,69,0,8,8,0,77620,268,0,0,5,2,3,0,2,7,568,4638021,5174766,1285277,0,5,71,0,16,16,793,267880,625,0,0,0,0,40,0,1,0,644,6,6,0,0,0,180,30000,290,0,1,4,1,8,0,1,3,92,1,1,1,1,1
81,90,5,0,0,639,169260,412,4,0,10,5,6,0,10,6,738,6143430,2157756,0,0,5,13,2,0,0,420,80660,252,1,0,7,5,3,0,3,0,180,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
82,49,84,0,0,600,195000,258,20,0,0,0,1,0,3,40,1051,8715149,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
83,170,9,0,0,1819,529200,1446,0,0,17,13,28,0,6,50,1590,12859210,8064212,0,0,11,32,3,0,0,1060,476900,1151,0,0,2,1,20,0,5,46,596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
84,40,26,6,6,240,135500,266,2,0,0,0,21,0,6,16,643,5923575,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
85,121,0,0,0,300,248920,670,0,0,2,2,0,0,7,0,900,6638634,3242359,0,0,8,20,16,0,0,750,161580,120,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
86,11,1,0,0,0,3720,0,1,0,0,0,0,0,1,0,89,494291,4545955,1217262,0,0,43,1,0,0,0,45000,72,1,0,0,0,0,0,1,11,419,0,13,2,0,0,0,12780,120,2,0,0,0,0,0,2,0,112,0,1,1,0,1
87,77,3,0,0,195,68620,212,3,0,0,0,39,0,3,8,595,3107272,2137087,155881,0,0,54,6,0,0,35,132000,598,5,0,1,0,35,0,3,0,390,0,2,0,0,0,0,12480,191,0,0,0,0,6,0,2,0,26,0,1,1,1,1
88,138,60,6,6,450,552200,1107,60,1,8,6,11,0,14,55,1674,9353190,829426,1559925,0,6,18,2,0,0,660,105000,504,2,0,0,0,4,0,4,0,151,0,25,18,0,0,400,210000,349,18,0,0,0,2,0,3,6,328,0,1,1,1,1
89,15,0,0,0,0,5700,0,0,0,0,0,0,0,2,0,119,878507,0,6894139,0,0,43,0,2,2,500,46800,122,0,0,0,0,0,0,1,12,374,5,72,0,1,1,644,244000,699,0,0,2,2,0,0,7,18,632,4,1,1,1,1
90,30,2,0,0,0,16560,59,0,0,0,0,0,0,1,3,266,1864998,5527410,0,0,3,49,3,19,19,99,116360,245,0,0,15,10,0,0,1,5,541,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
91,51,0,2,2,664,92200,267,0,0,0,0,7,0,5,33,638,2772016,1473466,779192,0,3,19,0,12,12,315,86360,399,0,0,1,1,2,0,2,7,301,10,12,0,0,0,180,50760,112,0,0,0,0,1,0,1,0,95,2,1,1,1,1
92,71,0,0,0,287,123860,548,0,0,10,7,9,0,6,52,808,4642483,2437391,1970732,0,0,2,0,0,0,250,47340,164,0,0,6,2,4,0,4,0,58,0,27,0,0,0,200,126900,400,0,0,2,1,3,0,2,20,290,0,1,1,1,1
93,86,4,37,37,1280,339300,1281,4,0,19,10,9,0,7,24,1228,9342510,1357713,0,0,13,2,0,0,0,870,60000,580,0,0,2,0,3,0,2,32,234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
94,111,11,0,0,0,193700,756,0,1,2,2,5,1,4,10,875,3808047,6134174,0,1,6,24,3,0,0,0,68700,386,0,0,0,0,2,0,2,0,182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
95,102,4,30,30,799,357400,878,4,0,28,22,0,0,1,40,1195,12991399,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
96,82,0,9,9,720,181220,346,0,0,16,9,27,0,3,14,788,11993896,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
97,130,1,3,3,550,179660,1106,1,0,5,3,7,0,14,25,1059,7324640,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
98,81,7,0,0,200,133620,366,6,0,4,2,10,0,4,22,718,4949420,3228432,1108439,0,0,64,5,0,0,732,204180,635,3,0,0,0,4,0,4,0,469,0,4,0,0,0,400,30000,0,0,0,0,0,0,0,3,0,83,0,1,1,1,1
99,81,29,11,11,250,250160,260,11,0,14,12,4,0,5,1,849,7406568,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
100,85,4,26,26,300,199800,406,1,0,3,2,0,0,4,10,951,5744555,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
101,151,26,28,28,1293,461100,1304,2,0,5,3,4,0,4,50,1549,9627564,208043,0,0,6,1,1,0,0,0,12500,0,0,0,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
102,70,2,0,0,760,158020,383,0,0,0,0,0,0,2,39,702,3523524,2108495,0,0,5,8,0,0,0,0,11640,75,0,0,9,7,0,0,1,0,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
103,59,78,0,0,250,169160,78,17,0,0,0,2,0,2,25,963,4981546,2668860,90043,0,0,10,10,0,0,0,50760,250,0,0,7,6,1,0,2,0,152,3,0,0,0,0,0,13740,0,0,0,0,0,0,0,1,0,9,0,1,1,0,1
104,30,6,0,0,0,96900,394,6,0,0,0,7,0,4,35,508,2623909,2172456,805203,0,12,40,4,1,1,0,98400,387,4,0,2,1,8,0,2,20,408,6,11,3,0,0,0,83700,257,3,0,0,0,1,0,1,10,164,6,1,1,1,1
