,gaid,country,level_cnt,ads_cnt,pvp_cnt,pvp_won_cnt,gem_spend,coin_spend,gem_earn,ads_reward_cnt,org_hero_cnt,level_e_try_cnt,level_e_cnt,idle_cnt,purchase_times,login_cnt,level_h_cnt,log_num,label
107,03cca3cf-378d-4378-ba16-d3e30759f9f7,TH,103,0,2,2,400,233660,846,0,0,4,3,3,0,2,40,890,0
108,a41cc571-9db2-4ac8-8cb0-313baec72f28,PT,98,4,7,7,1200,307400,1007,2,0,4,4,13,0,3,43,960,0
109,008ea3f4-8be7-456e-9222-f591ff198d2b,TR,168,0,14,14,826,263000,820,0,3,7,6,11,0,11,12,1649,0
110,6e26b714-82f6-41de-a4e9-8da1e44e621d,TR,77,11,5,5,0,200300,481,10,0,3,3,11,0,2,34,916,0
111,459a39e9-ca10-4fb9-8b11-bee775a98871,RO,100,4,8,8,900,223700,1091,3,0,6,5,2,0,1,111,1380,0
112,9362fbfc-f4fd-4928-8e0f-a83285e8f9a5,IN,61,1,0,0,0,71660,60,0,0,0,0,1,0,6,15,619,0
113,98a3a32b-8133-444f-a8e9-4e88991f6a26,RU,131,0,11,11,250,266200,901,0,0,5,3,4,0,4,40,1125,0
114,148e4aaa-9099-4b4d-8d1d-88bcabdc27f3,BD,81,7,1,1,576,238520,438,1,0,28,18,0,0,3,40,910,0
115,c907e490-fac7-4365-b419-6a0dad161c73,RO,95,32,0,0,0,206600,302,32,0,7,5,0,0,3,10,856,0
116,1b0c66f8-d03b-42b2-988e-55a5b1d4faa8,UZ,80,7,0,0,0,125720,394,0,0,12,8,0,0,4,10,629,0
117,b54390be-e307-4250-bb1a-9890224caeea,AL,91,0,0,0,0,233660,821,0,0,0,0,17,0,2,0,624,0
118,af4cfbf8-9671-432d-99c2-8fdfe1a01985,UA,62,6,4,4,990,159420,598,0,1,7,5,15,0,5,40,780,0
119,a6611157-1090-43e9-8bf1-b8561fdabb42,EC,71,29,3,3,120,115160,366,3,0,5,3,6,0,3,21,815,0
120,44440fa5-f878-45d1-9525-8b0f2772897e,IN,72,1,0,0,0,0,0,1,5,7,5,0,0,7,8,1212,0
121,1bc70e2c-bf55-41fa-bf63-8213f9f07fb6,EG,91,4,0,0,0,105620,327,0,0,0,0,16,0,1,0,649,0
122,8dc9bdbb-1e7d-4b90-9695-04ca3a71ac5d,MM,81,0,0,0,158,144800,325,0,0,10,8,4,0,6,40,807,0
123,f05bdfdf-3152-4eca-beb3-bd8ba31be40e,IR,70,2,1,1,99,106720,391,2,0,9,5,4,0,1,40,707,0
124,a4c87277-76a9-40ed-9bf0-e02b80ddb0f8,VN,51,2,25,25,840,188720,440,0,0,0,0,9,0,5,48,992,0
125,7545e557-5fb3-4d53-80e8-372a499b759c,IN,80,11,3,3,310,115660,519,0,0,5,4,12,0,5,40,876,0
126,677c9aee-11f1-492f-95fc-4e6c5c0cfaeb,RU,74,0,0,0,500,71660,269,0,0,13,7,10,0,3,2,571,0
127,9232debf-60f2-4f94-8713-e2916f2bb4f0,IN,113,5,0,0,490,247620,563,0,0,4,2,0,0,3,45,998,0
128,800d85d9-0373-49c8-b0f2-46ace30e5b35,ES,68,0,0,0,0,58300,120,0,0,0,0,0,0,3,0,476,0
129,c85f05ba-ea08-465c-a2d2-43bea9a4ae99,ES,101,23,0,0,759,289300,550,9,0,11,7,1,0,2,15,874,0
130,2fe7ba3b-4e3c-435d-87f7-519c59cac479,MA,64,4,2,2,98,99000,251,0,0,0,0,4,0,4,30,662,0
131,67199143-6899-446c-a9c7-9c4980f0957c,PK,81,1,0,0,0,99300,250,0,0,5,3,1,0,11,18,687,0
132,bf814472-2e56-4a9c-86d8-c2096e3424db,IN,119,2,0,0,488,179420,667,2,0,0,0,14,0,4,0,793,0
133,0987f451-1c45-4c29-82d7-8c0dfbdf7c69,IN,46,3,20,20,600,64220,307,1,0,0,0,4,0,4,40,752,0
134,5b105d44-cb45-4f7f-a930-590c28c070d3,IN,79,12,0,0,0,69420,387,3,0,0,0,13,0,5,32,762,0
135,ab23ad7d-81f0-4d92-a033-3874c70e3141,BR,56,3,0,0,500,125120,330,3,1,0,0,2,0,3,41,678,0
136,f08e8745-6f97-4671-8561-e9b3bf547f2c,ID,69,1,21,21,654,169160,418,0,0,0,0,0,0,1,40,851,0
137,bfe457b3-f05d-4208-8633-3c09c31b2b4e,ID,86,0,0,0,51,138600,288,0,0,2,2,1,0,2,29,769,0
138,9c2058ef-522a-4339-96da-cb03eab3c616,BR,101,3,12,12,805,176700,824,0,0,0,0,10,0,3,15,897,0
139,e67ea51d-a242-4a4c-bb50-304854e4e9cb,RU,91,5,0,0,1032,183160,681,4,0,2,2,13,0,6,40,879,0
140,5cf27d23-dcfa-4cbc-b462-71aa275cc027,MX,61,40,0,0,60,219920,544,0,0,0,0,18,0,14,45,957,0
141,614d8528-9185-489f-9072-147df6e6839e,CA,73,1,5,5,0,146300,456,0,0,0,0,1,0,4,62,884,0
142,bb567240-3678-44d5-a1e4-9328be074fb5,VN,64,0,0,0,0,58300,32,0,0,0,0,1,0,11,10,550,0
143,819a8c43-fa97-49cd-b747-ebd640ee46b2,ID,116,0,2,2,250,219920,567,0,0,8,6,2,0,3,13,834,0
144,630662db-e9f1-4eb5-ba35-e86613daae4e,ID,98,5,2,2,524,157520,435,0,0,0,0,6,0,1,18,791,0
145,cd3400d9-c98c-46d9-9c28-0170ee4de568,VN,73,6,5,5,842,159620,491,2,0,6,2,7,0,7,5,616,0
146,85ba26b2-c14e-4f82-9edc-76a92dfafacd,RU,131,3,0,0,800,307400,863,0,0,5,4,3,0,3,40,1095,0
147,c92856d9-0d5e-4b35-b091-9e97d87b54c0,MX,117,0,0,0,0,195700,560,0,0,6,4,1,0,1,40,959,0
148,70d324ae-fb8e-4d23-b5fa-b1d3312f830c,TR,128,0,0,0,0,19720,12,0,0,0,0,4,0,4,5,981,0
149,83e12efd-fee8-4878-ab21-e2e9c7690a06,BR,76,1,5,5,400,95700,517,0,0,23,18,4,0,5,0,620,0
150,802e29e1-19d8-4df0-be51-f8d525b95124,TR,71,55,2,2,0,206600,253,1,0,4,4,6,0,1,0,778,0
151,4df1401e-b105-4dc6-bd23-eab6726197aa,GR,106,9,0,0,450,208300,774,9,0,4,2,0,0,2,47,996,0
152,f4569a65-0f81-4f6e-8ac4-4df235ad9c21,IT,121,0,15,15,460,292500,729,0,0,4,4,0,0,3,40,1104,0
153,0c73d3a2-50a8-47c1-8bc1-63e245c9f154,TW,71,0,3,3,0,66720,166,0,0,10,5,4,0,1,4,555,0
154,93d32c16-3620-4038-8d85-158c9d38f180,IT,82,5,0,0,950,173460,592,5,0,4,3,2,0,5,41,899,0
155,581d04e4-3ccc-4a2c-8691-429a6af37901,EC,75,3,0,0,272,118860,252,0,0,11,9,4,0,1,5,576,0
156,d233907d-63b5-4132-83ca-6203fb8a85d8,IT,52,1,0,0,400,79520,232,0,0,0,0,1,0,1,24,488,0
157,658569e6-aadf-40a3-bae6-468cefd50c37,BA,89,0,0,0,0,233660,660,0,0,2,2,0,0,4,56,928,0
158,626e9aa3-55a6-40b3-9e43-55d0bf95826b,MX,60,45,22,22,900,301820,565,2,0,0,0,5,0,4,41,1095,0
159,8885dd80-d974-4902-a36b-35b4e27d4396,MX,91,16,2,2,160,125120,305,0,0,1,1,1,0,3,2,713,0
160,a2a9d9e2-ab37-405a-8d79-82e0fc61b2f6,DE,148,13,6,6,550,383420,982,0,0,2,2,5,0,7,24,1214,0
161,a48d7ef8-bb1f-4fb7-bf63-4abf012cd887,ID,72,3,0,0,400,87800,372,0,0,7,4,2,0,3,5,551,0
162,39a1e4fb-2e27-4917-a0e2-c6ea7cfed482,AE,126,0,3,3,900,181320,553,0,0,2,2,11,0,5,0,820,0
163,b32bbab8-7a26-4068-8e3f-c18be6f1ed09,RO,88,0,4,4,181,126620,477,0,0,6,3,8,0,2,20,724,0
164,b430b0d5-1667-42d2-89e0-b2f608030f07,VN,64,0,0,0,0,71660,140,0,0,0,0,3,0,4,5,456,0
165,cf4686d9-cca5-4079-a0bd-912eec53c0cf,FR,77,0,6,6,0,135500,511,0,0,9,7,3,0,2,40,779,0
166,b1db89e0-7d96-44ea-ac58-a3c274c584dc,RU,96,6,5,5,680,225820,586,6,1,6,6,3,0,4,40,977,0
167,d94da571-dd37-4ec0-8f49-4e0737e78609,BR,69,4,4,4,689,135600,358,1,0,5,3,1,0,5,2,586,0
168,bda5cc15-9716-459a-b8cb-a941bb2ce795,US,80,13,7,7,0,92200,200,7,0,2,1,13,0,2,1,627,0
169,41b4a4c0-2b8b-43d4-b9da-a2496b37ffad,PT,71,2,0,0,675,109620,410,1,1,12,8,17,0,5,10,602,0
170,6ab08e85-3aac-4f52-82e3-2e170ceb8b20,TH,69,0,3,3,200,105720,388,0,0,5,3,2,0,6,40,765,0
171,2881528f-b7e4-40bd-bdee-756dada21690,KR,88,4,5,5,1000,243060,878,4,0,1,1,2,0,2,72,1105,0
172,8fe240be-2d6c-4af5-a55f-0579e781c644,BD,47,4,9,9,120,28800,288,0,0,0,0,3,0,3,40,671,0
173,bccfd215-b215-4fad-b9d1-839e5c000930,PH,71,0,0,0,347,129120,416,0,0,4,3,0,0,3,40,738,0
174,dde6086c-a795-4d63-872b-37897aaf091a,RO,90,0,20,20,400,193700,544,0,0,7,4,0,0,7,40,947,0
175,66d5c88f-7562-499a-8d40-cd968c1ae0c8,BA,90,0,0,0,400,181220,428,0,0,0,0,0,0,2,40,817,0
176,c57ad242-1506-4753-98f0-65385ea68574,CO,44,10,9,9,320,157520,298,0,0,0,0,1,0,5,27,577,0
177,2590fc9e-ceb3-4ac4-a7cc-1e62139776d0,BD,54,39,0,0,120,169160,228,26,0,0,0,20,0,4,25,820,0
178,213e4e3d-aabc-4316-bff7-2073754df9e7,CR,41,59,0,0,400,125120,253,1,0,0,0,16,0,3,34,836,0
179,968e48ba-158e-4a35-a042-04e7e896a704,RO,74,2,1,1,600,144560,429,0,0,6,4,10,0,9,40,798,0
180,73e9db82-89b4-46a0-b42c-87a614e4d94e,PL,87,3,0,0,120,146300,408,0,0,9,3,1,0,5,15,672,0
181,978d6d8b-7bcf-4fdf-bcc0-98df02d70e2e,MM,79,2,26,26,200,134420,270,0,0,0,0,0,0,8,13,824,0
182,bb2e4545-19bb-435f-ab1b-f107cb7c3a85,BR,65,20,3,3,800,146900,611,17,1,7,6,5,1,2,16,715,0
183,ffbda322-bcfe-4c13-b49d-4991f145ca39,BR,83,5,9,9,400,292400,841,0,0,1,1,4,0,7,39,948,0
184,ecc5c586-dba5-4e54-aae4-22f6d802f8d2,MX,40,69,0,0,0,157520,250,16,0,0,0,0,0,2,29,859,0
185,eeaf1a5f-a11f-4c7e-be09-29f0839c8e80,MX,73,62,0,0,0,181220,230,7,0,1,1,14,0,2,0,802,0
186,46f68ca7-9452-4c28-87ce-326841dce4a1,IN,68,1,17,17,660,135500,307,0,0,5,3,5,0,5,13,713,0
187,c3801fd3-9209-4e39-b1ce-29988c1af250,AR,70,5,3,3,660,119260,370,2,0,14,8,5,0,5,6,596,0
188,92e4648e-5227-4e82-a247-f5cd92dfb7e4,US,48,47,0,0,0,125120,597,13,1,0,0,2,3,2,10,787,0
189,97f8ebea-d121-4e9f-8b2e-1b49e9f58ea2,TR,70,0,25,25,790,166100,418,0,0,7,4,4,0,3,34,957,0
190,96f13c72-675b-4a0d-a679-75b6a98b7cf3,BR,67,2,20,20,750,136300,514,1,1,0,0,1,1,1,15,690,0
191,74250fd7-5f85-45a6-9e4d-213aab193953,IR,52,0,0,0,100,40460,154,0,0,0,0,1,0,3,28,532,0
192,18af4274-e2a0-488b-91f7-49a9d0fa7e19,TH,88,0,0,0,700,119360,456,0,0,3,2,8,0,7,29,771,0
193,536a7013-3821-4407-ae98-312440b44234,TR,78,3,0,0,300,120660,304,0,0,0,0,0,0,4,40,794,0
194,55c47a9c-8464-4f22-8f7b-c8e82e55f895,ES,74,7,0,0,372,150500,483,2,0,0,0,13,0,3,0,517,0
195,f35ee781-2b4d-400d-9030-224de211636a,BR,75,2,9,9,289,169600,468,0,0,4,3,1,0,6,33,830,0
196,2df61559-05d0-4c46-8bae-cd1c36b50566,BR,112,0,20,20,900,262400,694,0,0,2,1,6,0,7,33,1089,0
197,560d95a2-e1a2-4f61-b140-4ac6be6d6631,IN,48,4,18,18,670,146300,379,0,0,0,0,6,0,12,12,699,0
198,598c460f-e8be-4ad7-9752-fdd0447091bc,RU,87,0,0,0,520,125120,478,0,0,7,5,1,0,5,10,658,0
199,c6f458e3-e49f-4783-a273-0896cd804696,PH,94,2,42,42,380,262400,938,0,0,12,7,6,0,3,16,1046,0
200,a04b3026-9aed-4bb0-a6af-6e150138e8e0,TR,114,0,10,10,400,290400,1137,0,0,0,0,9,0,6,13,884,0
201,fc4ac654-a886-45e2-b6de-f52f5ff13b3a,PL,35,0,0,0,0,42420,115,0,0,0,0,4,0,3,18,415,0
202,0ad66a3c-b3a0-4c72-a32a-cb0d7148361b,KR,70,6,0,0,0,169760,466,6,0,7,4,4,0,5,40,803,0
203,a1dd42fc-bc80-4fc9-9ede-f8148850421f,BE,115,4,3,3,1049,242500,718,3,0,4,3,14,0,4,48,1108,0
